year,gennme,prodnme,state,halfyear,totalRX
2012,Formoterol Fumarate,FORADIL AEROLIZER,UT,1,20
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,UT,1,1013
2012,Formoterol Fumarate,PERFOROMIST,UT,1,28
2012,Arformoterol Tartrate,BROVANA,UT,2,57
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,UT,2,888
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,UT,2,32
2012,Roflumilast,DALIRESP,UT,2,186
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,UT,2,137
2012,Formoterol Fumarate,FORADIL AEROLIZER,UT,2,20
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,UT,2,1228
2012,Formoterol Fumarate,PERFOROMIST,UT,2,44
2012,Aclidinium Bromide,TUDORZA PRESSAIR,UT,2,10
2012,Arformoterol Tartrate,BROVANA,VA,1,512
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,VA,1,6852
2012,Roflumilast,DALIRESP,VA,1,165
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,VA,1,233
2012,Formoterol Fumarate,FORADIL AEROLIZER,VA,1,200
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,VA,1,6197
2012,Formoterol Fumarate,PERFOROMIST,VA,1,227
2012,Arformoterol Tartrate,BROVANA,VA,2,1175
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,VA,2,7263
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,VA,2,20
2012,Roflumilast,DALIRESP,VA,2,303
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,VA,2,378
2012,Formoterol Fumarate,FORADIL AEROLIZER,VA,2,197
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,VA,2,11765
2012,Formoterol Fumarate,PERFOROMIST,VA,2,476
2012,Aclidinium Bromide,TUDORZA PRESSAIR,VA,2,20
2012,Arformoterol Tartrate,BROVANA,VT,1,30
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,VT,1,783
2012,Roflumilast,DALIRESP,VT,1,49
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,VT,1,30
2012,Formoterol Fumarate,FORADIL AEROLIZER,VT,1,34
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,VT,1,1349
2012,Formoterol Fumarate,PERFOROMIST,VT,1,20
2012,Arformoterol Tartrate,BROVANA,VT,2,30
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,VT,2,810
2012,Roflumilast,DALIRESP,VT,2,55
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,VT,2,20
2012,Formoterol Fumarate,FORADIL AEROLIZER,VT,2,36
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,VT,2,1252
2012,Formoterol Fumarate,PERFOROMIST,VT,2,30
2012,Indacaterol Maleate,ARCAPTA NEOHALER,WA,1,10
2012,Arformoterol Tartrate,BROVANA,WA,1,54
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WA,1,5861
2012,Roflumilast,DALIRESP,WA,1,57
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,WA,1,54
2012,Formoterol Fumarate,FORADIL AEROLIZER,WA,1,368
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WA,1,3862
2012,Formoterol Fumarate,PERFOROMIST,WA,1,20
2012,Indacaterol Maleate,ARCAPTA NEOHALER,WA,2,20
2012,Arformoterol Tartrate,BROVANA,WA,2,50
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WA,2,3722
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,WA,2,42
2012,Roflumilast,DALIRESP,WA,2,57
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,WA,2,40
2012,Formoterol Fumarate,FORADIL AEROLIZER,WA,2,230
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WA,2,2432
2012,Formoterol Fumarate,PERFOROMIST,WA,2,20
2012,Indacaterol Maleate,ARCAPTA NEOHALER,WI,1,10
2012,Arformoterol Tartrate,BROVANA,WI,1,186
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WI,1,10431
2012,Roflumilast,DALIRESP,WI,1,232
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,WI,1,45
2012,Formoterol Fumarate,FORADIL AEROLIZER,WI,1,479
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WI,1,8532
2012,Formoterol Fumarate,PERFOROMIST,WI,1,234
2012,Indacaterol Maleate,ARCAPTA NEOHALER,WI,2,20
2012,Arformoterol Tartrate,BROVANA,WI,2,351
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WI,2,9821
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,WI,2,20
2012,Roflumilast,DALIRESP,WI,2,320
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,WI,2,51
2012,Formoterol Fumarate,FORADIL AEROLIZER,WI,2,368
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WI,2,9543
2012,Formoterol Fumarate,PERFOROMIST,WI,2,296
2012,Aclidinium Bromide,TUDORZA PRESSAIR,WI,2,10
2012,Arformoterol Tartrate,BROVANA,WV,1,171
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WV,1,5177
2012,Roflumilast,DALIRESP,WV,1,252
2012,Formoterol Fumarate,FORADIL AEROLIZER,WV,1,158
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WV,1,245
2012,Formoterol Fumarate,PERFOROMIST,WV,1,33
2012,Arformoterol Tartrate,BROVANA,WV,2,235
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WV,2,4977
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,WV,2,10
2012,Roflumilast,DALIRESP,WV,2,330
2012,Formoterol Fumarate,FORADIL AEROLIZER,WV,2,152
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WV,2,200
2012,Formoterol Fumarate,PERFOROMIST,WV,2,54
2012,Arformoterol Tartrate,BROVANA,WY,1,104
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WY,1,265
2012,Roflumilast,DALIRESP,WY,1,20
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,WY,1,20
2012,Formoterol Fumarate,FORADIL AEROLIZER,WY,1,40
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WY,1,939
2012,Formoterol Fumarate,PERFOROMIST,WY,1,37
2012,Arformoterol Tartrate,BROVANA,WY,2,78
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,WY,2,282
2012,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,WY,2,10
2012,Roflumilast,DALIRESP,WY,2,27
2012,Albuterol Sulfate/Ipratropium Bromide,DUONEB,WY,2,10
2012,Formoterol Fumarate,FORADIL AEROLIZER,WY,2,40
2012,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,WY,2,853
2012,Formoterol Fumarate,PERFOROMIST,WY,2,50
2013,Arformoterol Tartrate,BROVANA,AK,1,30
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AK,1,802
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AK,1,130
2013,Roflumilast,DALIRESP,AK,1,178
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AK,1,20
2013,Formoterol Fumarate,FORADIL AEROLIZER,AK,1,20
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,1,801
2013,Formoterol Fumarate,PERFOROMIST,AK,1,20
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AK,1,20
2013,Arformoterol Tartrate,BROVANA,AK,2,30
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AK,2,41
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AK,2,851
2013,Roflumilast,DALIRESP,AK,2,141
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AK,2,20
2013,Formoterol Fumarate,FORADIL AEROLIZER,AK,2,10
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AK,2,572
2013,Formoterol Fumarate,PERFOROMIST,AK,2,30
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AK,2,20
2013,Indacaterol Maleate,ARCAPTA NEOHALER,AL,1,20
2013,Arformoterol Tartrate,BROVANA,AL,1,736
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AL,1,3014
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AL,1,203
2013,Roflumilast,DALIRESP,AL,1,1031
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AL,1,30
2013,Formoterol Fumarate,FORADIL AEROLIZER,AL,1,738
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,1,8658
2013,Formoterol Fumarate,PERFOROMIST,AL,1,145
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AL,1,40
2013,Indacaterol Maleate,ARCAPTA NEOHALER,AL,2,20
2013,Arformoterol Tartrate,BROVANA,AL,2,654
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AL,2,114
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AL,2,1512
2013,Roflumilast,DALIRESP,AL,2,1029
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AL,2,30
2013,Formoterol Fumarate,FORADIL AEROLIZER,AL,2,607
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AL,2,8541
2013,Formoterol Fumarate,PERFOROMIST,AL,2,201
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AL,2,57
2013,Indacaterol Maleate,ARCAPTA NEOHALER,AR,1,20
2013,Arformoterol Tartrate,BROVANA,AR,1,54
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AR,1,1464
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AR,1,315
2013,Roflumilast,DALIRESP,AR,1,88
2013,Formoterol Fumarate,FORADIL AEROLIZER,AR,1,23
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,1,1163
2013,Formoterol Fumarate,PERFOROMIST,AR,1,20
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AR,1,34
2013,Indacaterol Maleate,ARCAPTA NEOHALER,AR,2,20
2013,Arformoterol Tartrate,BROVANA,AR,2,51
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AR,2,41
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AR,2,1474
2013,Roflumilast,DALIRESP,AR,2,84
2013,Formoterol Fumarate,FORADIL AEROLIZER,AR,2,33
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AR,2,1215
2013,Formoterol Fumarate,PERFOROMIST,AR,2,20
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AR,2,72
2013,Indacaterol Maleate,ARCAPTA NEOHALER,AZ,1,10
2013,Arformoterol Tartrate,BROVANA,AZ,1,63
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,1,5681
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AZ,1,185
2013,Roflumilast,DALIRESP,AZ,1,137
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,AZ,1,20
2013,Formoterol Fumarate,FORADIL AEROLIZER,AZ,1,138
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,1,2987
2013,Formoterol Fumarate,PERFOROMIST,AZ,1,40
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AZ,1,10
2013,Indacaterol Maleate,ARCAPTA NEOHALER,AZ,2,10
2013,Arformoterol Tartrate,BROVANA,AZ,2,142
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,AZ,2,1407
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,AZ,2,3097
2013,Roflumilast,DALIRESP,AZ,2,212
2013,Formoterol Fumarate,FORADIL AEROLIZER,AZ,2,160
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,AZ,2,6417
2013,Formoterol Fumarate,PERFOROMIST,AZ,2,121
2013,Aclidinium Bromide,TUDORZA PRESSAIR,AZ,2,103
2013,Indacaterol Maleate,ARCAPTA NEOHALER,CA,1,40
2013,Arformoterol Tartrate,BROVANA,CA,1,180
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CA,1,24664
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,CA,1,2549
2013,Roflumilast,DALIRESP,CA,1,811
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,1,1422
2013,Formoterol Fumarate,FORADIL AEROLIZER,CA,1,394
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,1,12332
2013,Formoterol Fumarate,PERFOROMIST,CA,1,136
2013,Aclidinium Bromide,TUDORZA PRESSAIR,CA,1,345
2013,Indacaterol Maleate,ARCAPTA NEOHALER,CA,2,40
2013,Arformoterol Tartrate,BROVANA,CA,2,239
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CA,2,1535
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,CA,2,19058
2013,Roflumilast,DALIRESP,CA,2,888
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CA,2,348
2013,Formoterol Fumarate,FORADIL AEROLIZER,CA,2,398
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CA,2,14879
2013,Formoterol Fumarate,PERFOROMIST,CA,2,170
2013,Aclidinium Bromide,TUDORZA PRESSAIR,CA,2,968
2013,Arformoterol Tartrate,BROVANA,CO,1,53
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CO,1,2648
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,CO,1,180
2013,Roflumilast,DALIRESP,CO,1,173
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CO,1,62
2013,Formoterol Fumarate,FORADIL AEROLIZER,CO,1,48
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,1,4265
2013,Formoterol Fumarate,PERFOROMIST,CO,1,86
2013,Aclidinium Bromide,TUDORZA PRESSAIR,CO,1,22
2013,Indacaterol Maleate,ARCAPTA NEOHALER,CO,2,10
2013,Arformoterol Tartrate,BROVANA,CO,2,45
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CO,2,59
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,CO,2,2322
2013,Roflumilast,DALIRESP,CO,2,181
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CO,2,78
2013,Formoterol Fumarate,FORADIL AEROLIZER,CO,2,59
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CO,2,4655
2013,Formoterol Fumarate,PERFOROMIST,CO,2,78
2013,Aclidinium Bromide,TUDORZA PRESSAIR,CO,2,24
2013,Indacaterol Maleate,ARCAPTA NEOHALER,CT,1,20
2013,Arformoterol Tartrate,BROVANA,CT,1,377
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CT,1,2646
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,CT,1,444
2013,Roflumilast,DALIRESP,CT,1,344
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,1,973
2013,Formoterol Fumarate,FORADIL AEROLIZER,CT,1,58
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,1,8998
2013,Formoterol Fumarate,PERFOROMIST,CT,1,237
2013,Aclidinium Bromide,TUDORZA PRESSAIR,CT,1,196
2013,Indacaterol Maleate,ARCAPTA NEOHALER,CT,2,24
2013,Arformoterol Tartrate,BROVANA,CT,2,379
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,CT,2,57
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,CT,2,2474
2013,Roflumilast,DALIRESP,CT,2,344
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,CT,2,274
2013,Formoterol Fumarate,FORADIL AEROLIZER,CT,2,64
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,CT,2,8319
2013,Formoterol Fumarate,PERFOROMIST,CT,2,213
2013,Aclidinium Bromide,TUDORZA PRESSAIR,CT,2,279
2013,Arformoterol Tartrate,BROVANA,DC,1,40
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DC,1,1529
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,DC,1,196
2013,Roflumilast,DALIRESP,DC,1,40
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DC,1,10
2013,Formoterol Fumarate,FORADIL AEROLIZER,DC,1,334
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,1,438
2013,Aclidinium Bromide,TUDORZA PRESSAIR,DC,1,40
2013,Arformoterol Tartrate,BROVANA,DC,2,50
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DC,2,43
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,DC,2,1132
2013,Roflumilast,DALIRESP,DC,2,43
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DC,2,30
2013,Formoterol Fumarate,FORADIL AEROLIZER,DC,2,268
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DC,2,586
2013,Formoterol Fumarate,PERFOROMIST,DC,2,10
2013,Aclidinium Bromide,TUDORZA PRESSAIR,DC,2,40
2013,Indacaterol Maleate,ARCAPTA NEOHALER,DE,1,10
2013,Arformoterol Tartrate,BROVANA,DE,1,40
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DE,1,904
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,DE,1,183
2013,Roflumilast,DALIRESP,DE,1,56
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DE,1,10
2013,Formoterol Fumarate,FORADIL AEROLIZER,DE,1,55
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,1,212
2013,Formoterol Fumarate,PERFOROMIST,DE,1,20
2013,Aclidinium Bromide,TUDORZA PRESSAIR,DE,1,20
2013,Indacaterol Maleate,ARCAPTA NEOHALER,DE,2,20
2013,Arformoterol Tartrate,BROVANA,DE,2,40
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,DE,2,35
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,DE,2,1169
2013,Roflumilast,DALIRESP,DE,2,85
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,DE,2,20
2013,Formoterol Fumarate,FORADIL AEROLIZER,DE,2,36
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,DE,2,168
2013,Formoterol Fumarate,PERFOROMIST,DE,2,20
2013,Aclidinium Bromide,TUDORZA PRESSAIR,DE,2,24
2013,Arformoterol Tartrate,BROVANA,FL,1,308
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,FL,1,19484
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,FL,1,375
2013,Roflumilast,DALIRESP,FL,1,2188
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,FL,1,60
2013,Formoterol Fumarate,FORADIL AEROLIZER,FL,1,198
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,1,6184
2013,Formoterol Fumarate,PERFOROMIST,FL,1,199
2013,Aclidinium Bromide,TUDORZA PRESSAIR,FL,1,326
2013,Arformoterol Tartrate,BROVANA,FL,2,298
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,FL,2,993
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,FL,2,6467
2013,Roflumilast,DALIRESP,FL,2,2297
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,FL,2,70
2013,Formoterol Fumarate,FORADIL AEROLIZER,FL,2,184
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,FL,2,7768
2013,Formoterol Fumarate,PERFOROMIST,FL,2,172
2013,Aclidinium Bromide,TUDORZA PRESSAIR,FL,2,711
2013,Indacaterol Maleate,ARCAPTA NEOHALER,GA,1,10
2013,Arformoterol Tartrate,BROVANA,GA,1,40
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,GA,1,9908
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,GA,1,1024
2013,Roflumilast,DALIRESP,GA,1,221
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,GA,1,10
2013,Formoterol Fumarate,FORADIL AEROLIZER,GA,1,243
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,1,3682
2013,Formoterol Fumarate,PERFOROMIST,GA,1,25
2013,Aclidinium Bromide,TUDORZA PRESSAIR,GA,1,194
2013,Indacaterol Maleate,ARCAPTA NEOHALER,GA,2,20
2013,Arformoterol Tartrate,BROVANA,GA,2,38
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,GA,2,239
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,GA,2,9434
2013,Roflumilast,DALIRESP,GA,2,307
2013,Formoterol Fumarate,FORADIL AEROLIZER,GA,2,211
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,GA,2,2763
2013,Formoterol Fumarate,PERFOROMIST,GA,2,47
2013,Aclidinium Bromide,TUDORZA PRESSAIR,GA,2,301
2013,Arformoterol Tartrate,BROVANA,HI,1,30
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,1,1418
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,HI,1,183
2013,Roflumilast,DALIRESP,HI,1,30
2013,Formoterol Fumarate,FORADIL AEROLIZER,HI,1,20
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,1,869
2013,Formoterol Fumarate,PERFOROMIST,HI,1,30
2013,Aclidinium Bromide,TUDORZA PRESSAIR,HI,1,69
2013,Arformoterol Tartrate,BROVANA,HI,2,10
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,HI,2,65
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,HI,2,1479
2013,Roflumilast,DALIRESP,HI,2,29
2013,Formoterol Fumarate,FORADIL AEROLIZER,HI,2,10
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,HI,2,626
2013,Formoterol Fumarate,PERFOROMIST,HI,2,20
2013,Aclidinium Bromide,TUDORZA PRESSAIR,HI,2,127
2013,Arformoterol Tartrate,BROVANA,IA,1,646
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IA,1,2326
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,IA,1,60
2013,Roflumilast,DALIRESP,IA,1,160
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,1,88
2013,Formoterol Fumarate,FORADIL AEROLIZER,IA,1,30
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,1,6124
2013,Formoterol Fumarate,PERFOROMIST,IA,1,108
2013,Aclidinium Bromide,TUDORZA PRESSAIR,IA,1,58
2013,Arformoterol Tartrate,BROVANA,IA,2,820
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IA,2,318
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,IA,2,393
2013,Roflumilast,DALIRESP,IA,2,227
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IA,2,71
2013,Formoterol Fumarate,FORADIL AEROLIZER,IA,2,61
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,IA,2,7159
2013,Formoterol Fumarate,PERFOROMIST,IA,2,130
2013,Aclidinium Bromide,TUDORZA PRESSAIR,IA,2,67
2013,Arformoterol Tartrate,BROVANA,ID,1,351
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ID,1,1250
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,ID,1,197
2013,Roflumilast,DALIRESP,ID,1,72
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ID,1,85
2013,Formoterol Fumarate,FORADIL AEROLIZER,ID,1,87
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,1,1787
2013,Formoterol Fumarate,PERFOROMIST,ID,1,107
2013,Aclidinium Bromide,TUDORZA PRESSAIR,ID,1,26
2013,Arformoterol Tartrate,BROVANA,ID,2,459
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,ID,2,50
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,ID,2,1201
2013,Roflumilast,DALIRESP,ID,2,88
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,ID,2,50
2013,Formoterol Fumarate,FORADIL AEROLIZER,ID,2,109
2013,Albuterol Sulfate/Ipratropium Bromide,IPRATROPIUM BROMIDE-ALBUTEROL SULFATE,ID,2,1957
2013,Formoterol Fumarate,PERFOROMIST,ID,2,104
2013,Aclidinium Bromide,TUDORZA PRESSAIR,ID,2,51
2013,Arformoterol Tartrate,BROVANA,IL,1,1818
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT,IL,1,8243
2013,Albuterol Sulfate/Ipratropium Bromide,COMBIVENT RESPIMAT,IL,1,646
2013,Roflumilast,DALIRESP,IL,1,167
2013,Albuterol Sulfate/Ipratropium Bromide,DUONEB,IL,1,91
2013,Formoterol Fumarate,FORADIL AEROLIZER,IL,1,180
